layer,gap
1,1.930453365645921
1,1.928659633902281
1,1.871673585811947
1,1.868094016617151
1,1.846425712120102
1,1.796308397784628
1,1.759150582996001
1,1.730453569321606
1,1.581525637686712
1,1.398815543010618
1,1.216280001589966
1,0.9254056798332689
2,0.3421720698681399
3,0.3508463207224004
2,0.21621404187732
2,0.1447813133511944
2,0.1434424372921674
3,0.9162938993715862
4,0.5660291211283024
5,0.2486437431567499
6,0.1504824182220705
7,0.1723433002453056
3,0.1258703676499104
4,0.7254249721054906
5,0.7091188169966696
6,0.5674321939262228
2,0.4639750512158205
7,0.7643613096156336
8,0.1927928196469502
8,0.4379846997208823
9,0.6035904008139994
