layer,gap
1,0.9995201230049138
1,0.9985914230346677
1,0.9690860509872434
1,0.9672327041625975
1,0.9560136198997499
1,0.9300646185874938
1,0.9108256697654721
1,0.8959673643112184
1,0.8188577890396119
1,0.7242569923400878
1,0.6297465562820435
1,0.4791421592235567
2,0.3153655009178515
3,0.1957785622153825
2,0.4810772731679966
2,0.4709415045125782
2,1.110223024625157e-15
3,0.2809955917454228
4,0.184389899496904
5,0.08700623256985729
6,7.105427357601002e-15
7,0.1410236664266051
3,1.77635683940025e-15
4,6.217248937900877e-15
5,0.3372635334267446
6,1.77635683940025e-15
2,5.329070518200751e-15
7,0.1877122869807053
8,0.04764776574040397
8,0.141545384251998
9,0.6035904008139994
